,5m,10m,15m,20m
1.3,175.8,170.5,156.8,145.4
1.6,164.6,159.5,154.4,142.1
1.9,162.9,159.5,149.8,150.7
2.2,156.9,154.3,149.1,146.7
2.5,163.5,159.8,153.7,148.5
2.8,172.9,167.3,160.3,158.1
3.1,187.1,177.1,173.6,156.3
3.4,186.8,178,171.3,163.1
3.7,191.2,180.4,172.1,162.8
4,193.1,180.4,174.9,166.3
4.3,192.7,185.1,176.6,170
4.6,204.3,198.7,187.2,185.2
4.9,217.9,208.6,203.4,191
5.2,211.5,203.1,195.7,186.7
5.5,200.3,195.9,191.3,181
5.8,204.7,199.4,206.3,190.9
6.1,215.3,205.5,204.4,193.3
6.4,208.8,201,197.2,191.2
6.7,213.4,207.4,206.9,200.3
7,232.3,226.3,227.1,217.5
7.3,231.8,225.4,223.4,218.1
7.6,213.5,209,203.9,196
7.9,223.3,219.8,216.5,210.4
8.2,196.7,192.9,193,184.1
8.5,208,205,203.2,195.3
8.8,206.6,200.8,199.3,196.9
9.1,212.9,209.9,201.8,201.1
9.4,201,199.9,191.8,185.9
9.7,202,201.9,195.8,194.5
10,217.6,213.5,210.5,199.6
10.3,215.5,212,211.9,200.3
10.6,209,201.1,193.9,185.5
10.9,186.4,181.4,175.9,167.7
11.2,183.7,180.8,180.8,173.4
11.5,196.5,197.4,191.2,170.3
11.8,203.3,199.3,192.2,177.8
12.1,206.5,205.1,198.8,188.9
12.4,203.7,206,193.5,182.8
12.7,211.3,214.4,198,195.1
13,214.4,209.5,196.3,184.5
13.3,203.1,200.9,185.8,177.5
13.6,197.7,195.2,186.9,172.2
13.9,205.6,205.7,192.1,169.9
14.2,198.4,196.9,177.5,165.8
14.5,199.2,194.9,180.5,172.4
14.8,194,193.1,179.1,165.2
15.1,194.5,190.8,178.1,152.7
15.4,212.5,214.4,192.8,166.3
15.7,207.6,203.7,182.9,158
16,189.8,189,168.3,154.2
16.3,200,198.7,182.5,159.5
16.6,213.3,204.2,177.1,163.5
16.9,203.7,192.2,163.6,139.3
17.2,211,205.4,177,149.4
17.5,220.5,214.4,177,157.9
17.8,208.8,192.9,165,146.9
18.1,222.8,215.7,171.3,156.3
18.4,219.8,200.6,170.7,142.6
18.7,196.4,184.5,152.9,120.6
19,202.7,187.6,152.2,130.7
19.3,196,177.4,154,127.5
19.6,177,158.3,129.5,111.7
19.9,169.7,147.4,117.4,96.1
20.2,166.7,145.7,112.9,81.2
20.5,162.8,146.4,116.6,83.3
20.8,156,142.4,114.2,77.4
21.1,158.2,137.6,108.4,80.7
21.4,171,153.2,124.3,89.7
21.7,181.2,156.5,122.5,90.6
22,185.5,161,120.2,94.8
22.3,193.9,168.5,123.8,92.2
22.6,168.6,143.5,104.2,89.6
22.9,160,133,96.1,83.8
23.2,158.2,134.2,104.4,87.6
23.5,159.5,135.2,108.6,79.2
23.8,156.4,134.1,103.2,74.2
24.1,156.6,135.3,106.1,75.8
24.4,163.6,140,111.4,85.4
24.7,156.4,134.6,104.8,73.9
25,160.8,140.8,106.7,73.7
25.3,163.4,138.5,112.4,83.1
25.6,159,134.5,104.5,73
25.9,159.2,135.2,108.7,76.8
26.2,157,133.9,100.8,71.3
26.5,151.5,123.7,94,59.9
26.8,156,123.7,90.6,70.5
27.1,150.2,116.2,85.5,67
27.4,146.2,113.1,80,64
27.7,143.7,116.7,86.9,57.5
28,151.3,117.6,83.6,59.2
28.3,144.7,111.8,77.5,50.2
28.6,137.7,105.3,74.1,43.3
28.9,136.4,106.7,73.9,45.1
29.2,157.5,123.1,91,51.9
29.5,164.1,119,87.9,60.8
29.8,182.2,133.1,98.2,63.2
30.1,220.5,172.4,130.4,80.3
30.4,223.6,162.3,121.3,79.6
30.7,215.3,161.6,112.3,97.2
31,211.1,159.8,119.7,88.8
31.3,203,144.8,98,77.7
31.6,199.3,137.1,74.6,65
31.9,178.1,118.1,75.1,69.5
32.2,169.3,110.5,74.5,65.5
32.5,165.5,115.4,71.5,63.2
32.8,163.3,106.1,75.2,60
33.1,155.2,101.7,66.1,48.8
33.4,130.5,82.7,53.4,34.4
33.7,124.7,76.4,48.5,45.2
34,124.7,71.1,41.3,41.2
34.3,110,71.5,52.3,25.5
34.6,105.7,59.3,57.7,36.7
34.9,95.1,56.2,35.8,28
35.2,90.7,47.2,39.2,22.2
35.5,88.1,49.1,36.8,21.8
35.8,77.3,43.2,21.1,20.1
36.1,74.2,42.2,27.2,11.6
36.4,67.1,38.2,30.9,10.5
36.7,69,43.3,22.4,13.6
37,60.3,32.8,25.9,14.2
37.3,51.2,25.8,21,11
37.6,42.8,20.4,14.6,11.7
37.9,33,19.6,10.6,6.4
38.2,28,15.5,11.4,4.8
38.5,23.4,13.9,6,6.2
38.8,19.2,13.5,12.2,3.1
39.1,16.3,9.3,5.6,5.3
39.4,12.3,7.8,8.6,2.7
39.7,11.5,4.6,7,0.4
40,10,4.1,3.7,3
40.3,7.5,4,2.2,0.3
40.6,5.3,3.8,0.3,0
40.9,3.1,1.1,0.7,0
41.2,2.9,0.9,1,0
41.5,1.4,0.6,0.4,0
41.8,1.5,0.5,0,0
42.1,0.9,0,0.1,0
42.4,0.7,0,0.3,0
42.7,0.4,0,0,0
43,0.1,0,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
