,,,,
0.5,18.367,91.29,,
1.5,2.656,4.875,,
2.5,1.557,4.122,,
3.5,1.048,3.382,,
4.5,0.814,3.436,,
5.5,0.621,3.273,,
6.5,0.5,2.954,,
7.5,0.417,2.977,,
8.5,0.368,3.075,,
9.5,0.33,2.961,,
10.5,0.257,3.005,,
11.5,0.201,2.656,,
12.5,0.197,3.023,,
13.5,0.182,2.693,,
14.5,0.139,3.081,,
15.5,0.128,2.796,,
16.5,0.104,2.568,,
17.5,0.064,2.36,,
18.5,0.082,2.594,,
19.5,0.045,2.499,,
20.5,0.072,2.526,,
21.5,0.025,2.714,,
22.5,0.041,2.402,,
23.5,0.002,2.482,,
24.5,0.014,2.32,,
25.5,-0.031,2.427,,
26.5,-0.018,2.209,,
27.5,-0.033,2.136,,
28.5,-0.032,2.212,,
29.5,-0.05,2.272,,
30.5,-0.036,2.263,,
31.5,-0.056,2.307,,
32.5,-0.04,2.23,,
33.5,-0.051,2.004,,
34.5,-0.041,2.208,,
35.5,-0.067,2.191,,
36.5,-0.076,2.142,,
37.5,-0.066,2.235,,
38.5,-0.06,2.102,,
39.5,-0.062,2.071,,
40.5,-0.067,2.263,,
41.5,-0.082,2.024,,
42.5,-0.086,1.947,,
43.5,-0.059,2.109,,
44.5,-0.077,2.065,,
45.5,-0.088,2.165,,
46.5,-0.114,1.979,,
47.5,-0.077,2.197,,
48.5,-0.112,2.044,,
49.5,-0.048,2.031,,
50.5,-0.111,1.952,,
51.5,-0.094,2.045,,
52.5,-0.091,2.078,,
53.5,-0.118,2.024,,
54.5,-0.115,1.877,,
55.5,-0.107,1.923,,
56.5,-0.097,1.941,,
57.5,-0.083,1.953,,
58.5,-0.098,2.157,,
59.5,-0.1,2.125,,
60.5,-0.079,1.983,,
61.5,-0.085,2.103,,
62.5,-0.098,2.101,,
63.5,-0.098,1.881,,
64.5,-0.104,1.878,,
65.5,-0.125,1.969,,
66.5,-0.089,2.066,,
67.5,-0.126,2.063,,
