,5mPAR,5mNIR,10mPAR,10mNIR
15.45,0.006503,0.002432,0.007218,0.002818
15.75,0.006107,0.00272,0.006793,0.002716
16.05,0.007396,0.002837,0.007044,0.003067
16.35,0.007625,0.002722,0.008501,0.003112
16.65,0.007029,0.003023,0.008932,0.003431
16.95,0.008368,0.003186,0.009314,0.003253
17.25,0.008045,0.003475,0.008777,0.003404
17.55,0.008798,0.003614,0.00759,0.00337
17.85,0.008575,0.003391,0.009406,0.003383
18.15,0.008547,0.003152,0.009815,0.003397
18.45,0.007634,0.003493,0.009424,0.003589
18.75,0.009948,0.00372,0.009803,0.003826
19.05,0.011279,0.003728,0.010969,0.003867
19.35,0.010201,0.003737,0.012184,0.004339
19.65,0.012102,0.00455,0.012986,0.004464
19.95,0.011457,0.004413,0.014976,0.004619
20.25,0.015234,0.004753,0.01555,0.004617
20.55,0.014826,0.004981,0.016394,0.004901
20.85,0.016001,0.005016,0.015752,0.0053
21.15,0.014742,0.005113,0.01662,0.005185
21.45,0.017225,0.006028,0.019151,0.005901
21.75,0.019397,0.005502,0.020489,0.00581
22.05,0.023592,0.006924,0.021588,0.005824
22.35,0.024354,0.007021,0.026459,0.007182
22.65,0.027711,0.007829,0.029146,0.007185
22.95,0.028211,0.008138,0.030187,0.006877
23.25,0.031793,0.007824,0.034387,0.007385
23.55,0.035242,0.008344,0.03259,0.007889
23.85,0.037174,0.008777,0.029657,0.007491
24.15,0.036185,0.008275,0.029183,0.006951
24.45,0.031477,0.00725,0.032484,0.006856
24.75,0.029765,0.007194,0.026833,0.006679
25.05,0.026625,0.006589,0.023807,0.005125
25.35,0.025569,0.005132,0.020033,0.004531
25.65,0.019644,0.004046,0.014826,0.003109
25.95,0.014669,0.003256,0.010442,0.002165
26.25,0.010292,0.002013,0.008883,0.001847
26.55,0.009012,0.001458,0.006829,0.001461
26.85,0.006622,0.001584,0.004454,0.000932
27.15,0.003919,0.001103,0.003538,0.00062
27.45,0.004259,0.000807,0.00164,0.000405
27.75,0.001374,0.000384,0.000616,0.000072
28.05,0.000657,0.00008,0.000496,0.000077
28.35,0.00016,0.000017,0.00016,0.000039
28.65,0.00008,0.00001,0.000003,0.000027
28.95,0.00008,0.000019,0.000017,0
29.25,0,0.000005,0.00016,0
29.55,0,0.00001,0.00008,0
29.85,0,0,0,0
30.15,0.00008,0,0,0
30.45,0,0.00001,0.000096,0.000009
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
