,5mPAR,5mNIR,10mPAR,10mNIR
0.15,0,0,0,0
0.45,0.00008,0.000008,0,0
0.75,0.000096,0.000014,0.0001,0.00005
1.05,0.000858,0.00036,0.000931,0.000407
1.35,0.002576,0.001217,0.002217,0.001107
1.65,0.002518,0.00131,0.002761,0.001247
1.95,0.001934,0.001401,0.002628,0.00122
2.25,0.002968,0.001092,0.002389,0.001351
2.55,0.00222,0.001405,0.002684,0.001279
2.85,0.002901,0.001311,0.003069,0.001436
3.15,0.003354,0.001391,0.002922,0.001689
3.45,0.00317,0.001845,0.004122,0.001452
3.75,0.003498,0.001849,0.003234,0.001775
4.05,0.003757,0.001733,0.003183,0.002111
4.35,0.003615,0.001724,0.002865,0.001833
4.65,0.003535,0.002002,0.003333,0.001896
4.95,0.003547,0.001577,0.003309,0.001941
5.25,0.003852,0.001534,0.00293,0.001714
5.55,0.00258,0.001594,0.00305,0.001394
5.85,0.003165,0.00163,0.003258,0.001564
6.15,0.003204,0.001482,0.003462,0.00144
6.45,0.003249,0.001637,0.003422,0.001647
6.75,0.002641,0.001485,0.002761,0.001255
7.05,0.002637,0.001434,0.003131,0.001326
7.35,0.002769,0.001132,0.003048,0.001478
7.65,0.004008,0.001543,0.003116,0.001474
7.95,0.003293,0.001323,0.003477,0.001627
8.25,0.003749,0.001668,0.003287,0.001544
8.55,0.00341,0.001714,0.003096,0.00157
8.85,0.003288,0.001608,0.003668,0.001633
9.15,0.003668,0.001665,0.00428,0.001791
9.45,0.003312,0.001553,0.003886,0.001633
9.75,0.003654,0.001726,0.002949,0.001741
10.05,0.003577,0.001918,0.003224,0.00207
10.35,0.003926,0.001899,0.004461,0.001903
10.65,0.004134,0.00182,0.005151,0.002073
10.95,0.002623,0.001865,0.003884,0.001639
11.25,0.003801,0.001698,0.003845,0.001828
11.55,0.004321,0.001765,0.005855,0.002033
11.85,0.005021,0.001902,0.005554,0.001995
12.15,0.003667,0.00222,0.003887,0.002306
12.45,0.00588,0.00206,0.003697,0.002401
12.75,0.003925,0.002083,0.004601,0.002388
13.05,0.003215,0.001928,0.006037,0.002331
13.35,0.003713,0.001844,0.004751,0.002074
13.65,0.004463,0.001783,0.00547,0.002145
13.95,0.006143,0.00228,0.005636,0.002757
14.25,0.006334,0.002503,0.007868,0.002536
14.55,0.006817,0.002443,0.006227,0.002447
14.85,0.0056,0.002557,0.007905,0.002671
15.15,0.006701,0.002755,0.005974,0.002682
