,,,,
0.5,21.005,106.085,,
1.5,2.862,4.082,,
2.5,1.682,2.999,,
3.5,1.213,2.842,,
4.5,0.894,2.458,,
5.5,0.741,2.416,,
6.5,0.662,2.288,,
7.5,0.559,2.364,,
8.5,0.494,2.119,,
9.5,0.403,2.127,,
10.5,0.385,1.997,,
11.5,0.343,1.98,,
12.5,0.311,1.934,,
13.5,0.292,1.93,,
14.5,0.273,1.789,,
15.5,0.237,1.914,,
16.5,0.234,1.872,,
17.5,0.188,1.711,,
18.5,0.198,1.747,,
19.5,0.176,1.858,,
20.5,0.155,1.768,,
21.5,0.166,1.717,,
22.5,0.148,1.713,,
23.5,0.133,1.673,,
24.5,0.125,1.571,,
25.5,0.123,1.589,,
26.5,0.142,1.701,,
27.5,0.098,1.613,,
28.5,0.097,1.648,,
29.5,0.102,1.629,,
30.5,0.105,1.546,,
31.5,0.1,1.547,,
32.5,0.111,1.526,,
33.5,0.093,1.553,,
34.5,0.082,1.605,,
35.5,0.072,1.458,,
36.5,0.082,1.423,,
37.5,0.093,1.484,,
38.5,0.092,1.635,,
39.5,0.079,1.415,,
40.5,0.058,1.481,,
41.5,0.086,1.499,,
42.5,0.07,1.458,,
43.5,0.044,1.389,,
44.5,0.072,1.503,,
45.5,0.061,1.474,,
46.5,0.024,1.386,,
47.5,0.06,1.42,,
48.5,0.052,1.484,,
49.5,0.066,1.433,,
50.5,0.051,1.444,,
51.5,0.045,1.361,,
52.5,0.011,1.367,,
53.5,0.049,1.36,,
54.5,0.047,1.377,,
55.5,0.026,1.299,,
56.5,0.036,1.352,,
57.5,0.031,1.362,,
58.5,0.028,1.191,,
59.5,0.03,1.383,,
60.5,0.026,1.29,,
61.5,0.015,1.374,,
62.5,0.014,1.33,,
63.5,0.035,1.343,,
64.5,0.038,1.221,,
65.5,0.017,1.373,,
66.5,0.019,1.308,,
67.5,0.032,1.428,,
68.5,0.05,1.246,,
69.5,0.034,1.268,,
70.5,0.025,1.318,,
71.5,0.028,1.29,,
72.5,0.037,1.264,,
73.5,0.051,1.318,,
74.5,0.028,1.294,,
75.5,0.046,1.363,,
76.5,0.002,1.248,,
77.5,0.028,1.199,,
