,5m,10m,15m,20m
42.7,0.478,0.901367,0.953125,0.992676
43,0.4755,0.916896,0.95322,0.992845
43.3,0.4275,0.931034,0.973975,0.994795
43.6,0.4092,0.942393,0.980059,0.997046
43.9,0.4528,0.952782,0.98145,0.995784
44.2,0.4735,0.933911,0.980498,0.994583
44.5,0.4718,0.908088,0.985294,0.992647
44.8,0.4598,0.892761,0.986595,0.990617
45.1,0.4612,0.888726,0.980966,0.988287
45.4,0.5014,0.903846,0.990385,0.989011
45.7,0.5484,0.919509,0.993179,0.993179
46,0.587,0.949728,0.998641,1
46.3,0.6628,0.969343,1,1
46.6,0.7196,0.968516,0.997001,1
46.9,0.7036,0.970359,1,1
47.2,0.7126,0.973333,0.998519,1
47.5,0.7463,0.972863,1,1
47.8,0.7703,0.984869,1,1
48.1,0.8105,0.98688,1,1
48.4,0.8517,0.993103,0.998276,1
48.7,0.8349,0.974771,1,1
49,0.8705,0.980716,1,1
49.3,0.874,0.996063,1,1
49.6,0.9745,1,1,1
49.9,0.975,1,1,1
