,5mPAR,5mNIR,10mPAR,10mNIR
0.15,0,0.000058,0,0
0.45,0,0,0,0
0.75,0,0,0,0
1.05,0.00002,0.000012,0.000016,0.000044
1.35,0.000737,0.000643,0.000718,0.000624
1.65,0.001148,0.000812,0.00159,0.000951
1.95,0.001501,0.000843,0.001273,0.001046
2.25,0.000997,0.00086,0.002021,0.001206
2.55,0.000968,0.000888,0.001081,0.001086
2.85,0.001225,0.001183,0.001365,0.001135
3.15,0.001631,0.001135,0.002047,0.001269
3.45,0.001225,0.00132,0.001615,0.001477
3.75,0.001628,0.001392,0.002664,0.001362
4.05,0.00165,0.001214,0.002363,0.00144
4.35,0.00159,0.00135,0.003588,0.001504
4.65,0.002308,0.001533,0.00259,0.001654
4.95,0.002401,0.001693,0.003048,0.00161
5.25,0.003205,0.001844,0.003323,0.001871
5.55,0.002754,0.001768,0.003718,0.00185
5.85,0.002133,0.001561,0.002395,0.001969
6.15,0.002902,0.001683,0.002836,0.00212
6.45,0.002634,0.001774,0.004514,0.002282
6.75,0.003362,0.002095,0.002934,0.00222
7.05,0.002752,0.00225,0.004024,0.00225
7.35,0.003194,0.002419,0.004253,0.002657
7.65,0.004145,0.00252,0.004073,0.002568
7.95,0.004477,0.002678,0.004728,0.002728
8.25,0.003392,0.002036,0.003875,0.002531
8.55,0.003473,0.001973,0.004996,0.002637
8.85,0.003169,0.002122,0.004709,0.002676
9.15,0.003615,0.002495,0.004091,0.002719
9.45,0.004429,0.002585,0.00368,0.002728
9.75,0.003806,0.00235,0.005193,0.002883
10.05,0.003729,0.00254,0.003067,0.003045
10.35,0.005045,0.002576,0.004646,0.002978
10.65,0.004333,0.002671,0.005421,0.002907
10.95,0.003226,0.002377,0.004344,0.002902
11.25,0.003545,0.002805,0.00492,0.002721
11.55,0.004075,0.002473,0.00317,0.002884
11.85,0.00398,0.003028,0.005215,0.002844
12.15,0.004099,0.002751,0.005116,0.003065
12.45,0.003826,0.002726,0.005293,0.002897
12.75,0.003929,0.00303,0.005008,0.003093
13.05,0.00572,0.002922,0.005559,0.003555
13.35,0.005208,0.0032,0.006424,0.00345
13.65,0.00603,0.002945,0.005471,0.003543
13.95,0.005691,0.003207,0.005698,0.003173
14.25,0.005196,0.003014,0.005352,0.00313
14.55,0.004224,0.00292,0.005901,0.003144
14.85,0.005476,0.002927,0.007008,0.003589
15.15,0.005947,0.002906,0.006179,0.003404
15.45,0.005273,0.003331,0.007537,0.003653
15.75,0.005973,0.003328,0.006529,0.003978
16.05,0.005827,0.003106,0.008384,0.004008
16.35,0.008045,0.003517,0.00836,0.003567
16.65,0.008982,0.003866,0.007959,0.003755
16.95,0.008163,0.003935,0.008455,0.004417
17.25,0.007534,0.003884,0.011182,0.003842
17.55,0.009621,0.004476,0.011217,0.004276
17.85,0.008576,0.004018,0.009169,0.004486
18.15,0.008263,0.004422,0.011556,0.005032
18.45,0.008823,0.004732,0.011911,0.004526
18.75,0.0085,0.004144,0.009975,0.004101
19.05,0.008044,0.004461,0.009948,0.004575
19.35,0.008103,0.004226,0.008873,0.004163
19.65,0.008415,0.003996,0.008917,0.003541
19.95,0.007652,0.003701,0.008197,0.003512
20.25,0.009278,0.003518,0.007829,0.003618
20.55,0.008541,0.003733,0.00913,0.003654
20.85,0.007652,0.003006,0.00797,0.003662
21.15,0.007747,0.003242,0.008931,0.003735
21.45,0.008095,0.003386,0.009525,0.00404
21.75,0.009623,0.004252,0.01066,0.003998
22.05,0.010622,0.004549,0.012228,0.004149
22.35,0.012343,0.004434,0.012501,0.004122
22.65,0.007858,0.003673,0.010911,0.003652
22.95,0.01076,0.003771,0.010454,0.00373
23.25,0.007962,0.003871,0.010603,0.003325
23.55,0.011507,0.004033,0.01173,0.003566
23.85,0.009442,0.003958,0.010955,0.003407
24.15,0.011699,0.00366,0.012543,0.003691
24.45,0.007811,0.003892,0.010372,0.003443
24.75,0.010012,0.003715,0.010108,0.003675
25.05,0.010419,0.003856,0.010268,0.003582
25.35,0.010204,0.003831,0.009475,0.003775
25.65,0.009602,0.003559,0.010046,0.003573
25.95,0.011051,0.003783,0.009248,0.003589
26.25,0.011883,0.00418,0.012182,0.003465
26.55,0.010531,0.003858,0.010224,0.003533
26.85,0.01084,0.003539,0.011805,0.003711
27.15,0.012923,0.004016,0.010579,0.003262
27.45,0.01086,0.003918,0.012212,0.003303
27.75,0.010942,0.003926,0.014572,0.003227
28.05,0.012092,0.00447,0.012706,0.003406
28.35,0.012155,0.003587,0.011682,0.003371
28.65,0.01019,0.003775,0.010222,0.00281
28.95,0.011021,0.003486,0.009826,0.003205
29.25,0.011765,0.003638,0.010866,0.003369
29.55,0.013644,0.004396,0.010889,0.003488
29.85,0.014024,0.004162,0.010113,0.003777
30.15,0.013414,0.00515,0.014489,0.00443
30.45,0.0137,0.006012,0.011855,0.004171
30.75,0.012135,0.005325,0.013831,0.003991
31.05,0.013207,0.00554,0.013716,0.003801
31.35,0.013996,0.004479,0.011235,0.004153
31.65,0.013346,0.00472,0.010482,0.003145
31.95,0.012032,0.004678,0.011901,0.002981
32.25,0.01301,0.00455,0.010009,0.00278
32.55,0.012962,0.003954,0.010089,0.003215
32.85,0.014128,0.004374,0.009994,0.002492
33.15,0.012764,0.004343,0.009523,0.002544
33.45,0.01146,0.003762,0.008068,0.002213
33.75,0.013034,0.003417,0.007052,0.001939
34.05,0.011051,0.003402,0.005847,0.00177
34.35,0.009874,0.002739,0.006136,0.001853
34.65,0.009055,0.002736,0.005453,0.001736
34.95,0.007498,0.002711,0.006722,0.001283
35.25,0.008338,0.002354,0.005287,0.001291
35.55,0.008753,0.002108,0.004663,0.001292
35.85,0.00758,0.002079,0.005903,0.001169
36.15,0.007037,0.001921,0.004962,0.00106
36.45,0.007577,0.001748,0.003679,0.00099
36.75,0.007137,0.001727,0.003664,0.001052
37.05,0.005357,0.001558,0.003583,0.000706
37.35,0.005382,0.001421,0.003242,0.000629
37.65,0.003685,0.000917,0.001557,0.000574
37.95,0.003232,0.000705,0.002096,0.000518
38.25,0.003155,0.00065,0.001558,0.000381
38.55,0.002486,0.000563,0.002303,0.000316
38.85,0.001273,0.000535,0.001283,0.000402
39.15,0.001922,0.000347,0.001051,0.000233
39.45,0.001621,0.000378,0.00058,0.000277
39.75,0.001054,0.000252,0.000998,0.000151
40.05,0.001132,0.000276,0.000344,0.00015
40.35,0.000821,0.000177,0.000672,0.000102
40.65,0.000324,0.000145,0.000336,0.00011
40.95,0.000643,0.000081,0.00008,0.00001
41.25,0.000662,0.000146,0.000096,0.000019
41.55,0.000161,0.000009,0.000016,0
41.85,0.000161,0.000013,0.000096,0.00002
42.15,0.00002,0.000065,0.00008,0
42.45,0.00008,0.000029,0,0
42.75,0,0.000046,0,0
43.05,0,0.00001,0,0
43.35,0.000003,0,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
