,5m,10m,15m,20m
1.3,0,0.071975,0.146578,0.280989
1.6,0.0001,0.075805,0.142111,0.277932
1.9,0.0001,0.07709,0.133893,0.266877
2.2,0,0.072528,0.132485,0.2508
2.5,0,0.06215,0.126666,0.227226
2.8,0,0.047979,0.102944,0.197821
3.1,0,0.063865,0.108439,0.213002
3.4,0,0.0563,0.10768,0.194498
3.7,0,0.063722,0.112295,0.219447
4,0,0.070536,0.123955,0.230398
4.3,0,0.069229,0.12398,0.230832
4.6,0,0.065705,0.118202,0.240844
4.9,0,0.062291,0.13568,0.256802
5.2,0.0001,0.072255,0.123521,0.252512
5.5,0,0.074871,0.126766,0.263568
5.8,0,0.072859,0.148441,0.285987
6.1,0.0001,0.065789,0.130371,0.276719
6.4,0,0.080486,0.139215,0.261479
6.7,0.0009,0.082973,0.158618,0.266719
7,0.0001,0.081328,0.144105,0.285926
7.3,0.0004,0.069986,0.151867,0.305809
7.6,0,0.075851,0.139671,0.297242
7.9,0,0.087941,0.142239,0.307129
8.2,0,0.086664,0.150436,0.302871
8.5,0.0002,0.07951,0.155365,0.307622
8.8,0.0004,0.094082,0.155244,0.313186
9.1,0.0004,0.087401,0.176211,0.327225
9.4,0.0004,0.096699,0.16814,0.350713
9.7,0.0006,0.091215,0.175701,0.353832
10,0.0006,0.094458,0.185869,0.369644
10.3,0.0002,0.089677,0.171927,0.39974
10.6,0.0006,0.094917,0.163622,0.386616
10.9,0.0002,0.092064,0.156959,0.337568
11.2,0.0002,0.089144,0.156279,0.324764
11.5,0.0002,0.097096,0.168181,0.336718
11.8,0.0007,0.090452,0.177959,0.346214
12.1,0,0.091446,0.188291,0.360047
12.4,0.0005,0.098261,0.191601,0.351214
12.7,0.0008,0.103356,0.207184,0.352608
13,0.0012,0.094311,0.194554,0.359294
13.3,0.0019,0.094057,0.19547,0.367426
13.6,0.0013,0.096265,0.190789,0.366582
13.9,0.0009,0.100052,0.187516,0.369525
14.2,0.0015,0.102795,0.216585,0.380448
14.5,0.002,0.117931,0.23747,0.396811
14.8,0.0036,0.12411,0.223151,0.399726
15.1,0.0036,0.119509,0.211777,0.407932
15.4,0.0044,0.120335,0.223037,0.399871
15.7,0.0088,0.117224,0.237981,0.412744
16,0.0089,0.12358,0.227063,0.399201
16.3,0.0088,0.122959,0.226864,0.395503
16.6,0.0064,0.114488,0.216931,0.380502
16.9,0.0066,0.107996,0.217271,0.377825
17.2,0.0097,0.11136,0.226902,0.387518
17.5,0.0104,0.114877,0.216857,0.375825
17.8,0.0089,0.115538,0.226227,0.391689
18.1,0.0083,0.11083,0.23074,0.403632
18.4,0.0072,0.108088,0.222169,0.415319
18.7,0.0067,0.108864,0.240275,0.448326
19,0.007,0.111919,0.236143,0.46812
19.3,0.0066,0.112623,0.243548,0.464571
19.6,0.0067,0.115786,0.248313,0.473135
19.9,0.0058,0.115765,0.255607,0.486972
20.2,0.0049,0.11915,0.28111,0.509807
20.5,0.0032,0.124689,0.299403,0.540982
20.8,0.0026,0.135916,0.314709,0.56353
21.1,0.0013,0.134943,0.322999,0.590597
21.4,0.0003,0.136492,0.34414,0.625935
21.7,0.001,0.159616,0.38619,0.654983
22,0.0015,0.170698,0.416483,0.68385
22.3,0.0021,0.174731,0.441291,0.706417
22.6,0.0033,0.190709,0.463764,0.728247
22.9,0.0043,0.208561,0.486965,0.738702
23.2,0.0062,0.243227,0.509728,0.755745
23.5,0.0079,0.270902,0.539107,0.780342
23.8,0.0113,0.278374,0.558166,0.793587
24.1,0.0115,0.300863,0.588851,0.802773
24.4,0.015,0.320887,0.610131,0.820852
24.7,0.0144,0.343775,0.632431,0.837577
25,0.0178,0.368095,0.64578,0.835764
25.3,0.0249,0.391208,0.670119,0.851765
25.6,0.034,0.417129,0.685949,0.855776
25.9,0.0446,0.436441,0.698974,0.868226
26.2,0.0552,0.474024,0.726604,0.876053
26.5,0.0643,0.500652,0.745439,0.889067
26.8,0.078,0.51602,0.758101,0.895674
27.1,0.0912,0.542192,0.767482,0.908142
27.4,0.0994,0.568885,0.783868,0.910025
27.7,0.0977,0.586461,0.7924,0.91417
28,0.1001,0.607101,0.79397,0.913811
28.3,0.1072,0.616841,0.801207,0.925227
28.6,0.1201,0.646888,0.822614,0.931189
28.9,0.1356,0.668562,0.833825,0.940396
29.2,0.1517,0.683518,0.849489,0.94621
29.5,0.1686,0.705135,0.861227,0.952583
29.8,0.1885,0.723901,0.866607,0.956589
30.1,0.195,0.738671,0.8756,0.960814
30.4,0.2153,0.754911,0.889768,0.964624
30.7,0.2303,0.762224,0.893528,0.965279
31,0.2436,0.76452,0.898387,0.964836
31.3,0.2571,0.779248,0.902163,0.966377
31.6,0.2673,0.783371,0.906817,0.962249
31.9,0.275,0.790275,0.903119,0.965138
32.2,0.2872,0.810885,0.911902,0.967175
32.5,0.3,0.822115,0.909375,0.963462
32.8,0.2947,0.824013,0.911211,0.961039
33.1,0.2947,0.839405,0.917808,0.961527
33.4,0.3161,0.84564,0.926495,0.966923
33.7,0.3085,0.866356,0.930458,0.967366
34,0.2966,0.878329,0.942149,0.972911
34.3,0.3549,0.917394,0.95288,0.975567
34.6,0.3795,0.939548,0.955572,0.972323
34.9,0.4436,0.94315,0.958062,0.979497
35.2,0.5102,0.969388,0.965561,0.984694
35.5,0.5779,0.976449,0.974638,0.990942
35.8,0.6303,0.978723,0.978723,1
36.1,0.7189,0.983936,0.991968,1
36.4,0.7845,0.991379,1,1
36.7,0.8571,1,1,1
37,0.75,1,1,1
