0.5,16.011,81.346,,
1.5,1.907,3.181,,
2.5,1.007,2.469,,
3.5,0.642,2.17,,
4.5,0.444,2.077,,
5.5,0.326,1.92,,
6.5,0.252,1.78,,
7.5,0.185,1.79,,
8.5,0.106,1.704,,
9.5,0.076,1.668,,
10.5,0.062,1.612,,
11.5,0.049,1.609,,
12.5,0.016,1.589,,
13.5,0.005,1.592,,
14.5,-0.023,1.566,,
15.5,-0.042,1.549,,
16.5,-0.05,1.495,,
17.5,-0.043,1.564,,
18.5,-0.046,1.528,,
19.5,-0.067,1.437,,
20.5,-0.058,1.496,,
21.5,-0.089,1.554,,
22.5,-0.084,1.459,,
23.5,-0.092,1.49,,
24.5,-0.097,1.379,,
25.5,-0.089,1.396,,
26.5,-0.099,1.389,,
27.5,-0.111,1.416,,
28.5,-0.103,1.416,,
29.5,-0.106,1.421,,
30.5,-0.119,1.393,,
31.5,-0.131,1.364,,
32.5,-0.109,1.358,,
33.5,-0.132,1.331,,
34.5,-0.113,1.267,,
35.5,-0.129,1.317,,
36.5,-0.098,1.302,,
37.5,-0.109,1.247,,
38.5,-0.112,1.316,,
39.5,-0.114,1.318,,
40.5,-0.12,1.265,,
41.5,-0.119,1.231,,
42.5,-0.132,1.311,,
43.5,-0.118,1.264,,
44.5,-0.14,1.308,,
45.5,-0.123,1.276,,
46.5,-0.075,1.222,,
47.5,-0.125,1.275,,
48.5,-0.122,1.249,,
49.5,-0.121,1.219,,
50.5,-0.132,1.188,,
51.5,-0.132,1.179,,
52.5,-0.126,1.238,,
53.5,-0.122,1.171,,
54.5,-0.124,1.147,,
55.5,-0.114,1.164,,
56.5,-0.117,1.184,,
57.5,-0.116,1.15,,
58.5,-0.126,1.141,,
59.5,-0.124,1.101,,
60.5,-0.132,1.192,,
61.5,-0.132,1.134,,
62.5,-0.124,1.126,,
63.5,-0.106,1.184,,
64.5,-0.124,1.126,,
65.5,-0.131,1.207,,
66.5,-0.129,1.129,,
67.5,-0.116,1.096,,
68.5,-0.113,1.106,,
69.5,-0.123,1.152,,
70.5,-0.127,1.198,,
71.5,-0.109,1.097,,
72.5,-0.106,1.177,,
73.5,-0.104,1.104,,
74.5,-0.117,1.183,,
75.5,-0.129,1.108,,
76.5,-0.114,1.127,,
77.5,-0.135,1.078,,
78.5,-0.133,1.185,,
79.5,-0.127,1.115,,
80.5,-0.113,1.071,,
81.5,-0.124,1.092,,
82.5,-0.134,1.085,,
83.5,-0.129,1.121,,
84.5,-0.094,1.011,,
85.5,-0.137,1.103,,
86.5,-0.123,1.058,,
87.5,-0.144,1.134,,
88.5,-0.11,1.038,,
89.5,-0.102,1.029,,
90.5,-0.115,1.024,,
91.5,-0.128,1.146,,
92.5,-0.104,1.097,,
93.5,-0.126,1.057,,
94.5,-0.114,1.049,,
95.5,-0.125,0.992,,
96.5,-0.12,1.049,,
97.5,-0.117,1.058,,
98.5,-0.121,1.123,,
99.5,-0.132,1.033,,
100.5,-0.145,1.023,,
101.5,-0.148,1.027,,
102.5,-0.139,1.048,,
103.5,-0.105,1.044,,
104.5,-0.132,1.048,,
105.5,-0.117,0.972,,
106.5,-0.139,1.042,,
107.5,-0.123,1.062,,
108.5,-0.121,1.014,,
109.5,-0.098,1.026,,
110.5,-0.106,1.022,,
111.5,-0.126,1.024,,
112.5,-0.137,1.05,,
113.5,-0.133,0.956,,
114.5,-0.097,1.05,,
115.5,-0.095,1.063,,
116.5,-0.122,0.965,,
117.5,-0.13,0.989,,
118.5,-0.115,0.961,,
119.5,-0.138,0.916,,
120.5,-0.097,1.057,,
121.5,-0.128,1.001,,
122.5,-0.126,0.994,,
123.5,-0.105,1.126,,
124.5,-0.093,0.994,,
125.5,-0.129,0.973,,
126.5,-0.112,1.049,,
127.5,-0.112,0.885,,
128.5,-0.125,0.992,,
129.5,-0.112,0.998,,
130.5,-0.113,1,,
131.5,-0.122,0.989,,
132.5,-0.114,0.995,,
133.5,-0.121,0.975,,
134.5,-0.098,0.971,,
135.5,-0.088,0.945,,
136.5,-0.13,0.962,,
137.5,-0.106,0.939,,
138.5,-0.103,0.964,,
139.5,-0.119,0.993,,
140.5,-0.09,0.92,,
141.5,-0.113,0.966,,
142.5,-0.1,0.945,,
143.5,-0.104,0.94,,
144.5,-0.137,0.964,,
145.5,-0.107,0.994,,
146.5,-0.113,0.919,,
147.5,-0.122,0.979,,
148.5,-0.113,0.956,,
149.5,-0.115,0.972,,
150.5,-0.114,0.959,,
151.5,-0.093,0.918,,
152.5,-0.095,0.914,,
153.5,-0.109,0.982,,
154.5,-0.08,0.853,,
155.5,-0.099,1.094,,
156.5,-0.087,0.903,,
157.5,-0.114,0.896,,
158.5,-0.104,0.875,,
159.5,-0.091,0.881,,
160.5,-0.105,0.919,,
161.5,-0.111,0.934,,
162.5,-0.123,0.942,,
163.5,-0.085,0.893,,
164.5,-0.116,0.917,,
165.5,-0.115,0.89,,
166.5,-0.122,0.918,,
167.5,-0.104,0.862,,
168.5,-0.091,0.907,,
169.5,-0.109,0.884,,
170.5,-0.12,0.876,,
171.5,-0.101,0.943,,
172.5,-0.117,0.861,,
173.5,-0.108,0.951,,
174.5,-0.113,0.94,,
175.5,-0.129,0.878,,
176.5,-0.115,0.913,,
177.5,-0.085,0.865,,
178.5,-0.085,0.85,,
179.5,-0.088,0.926,,
180.5,-0.082,0.916,,
181.5,-0.101,0.8,,
182.5,-0.135,1.175,,
183.5,-0.106,0.874,,
184.5,-0.098,0.896,,
185.5,-0.115,0.842,,
186.5,-0.11,0.84,,
