,5mPAR,5mNIR,10mPAR,10mNIR
0.15,0,0,0,0.000036
0.45,0.00008,0.000042,0.000256,0.00002
0.75,0.000333,0.00026,0.000181,0.000265
1.05,0.000898,0.000809,0.00117,0.000879
1.35,0.002068,0.001366,0.003449,0.001547
1.65,0.002378,0.001535,0.003486,0.001851
1.95,0.001914,0.001439,0.002852,0.001517
2.25,0.002461,0.001456,0.002822,0.001929
2.55,0.00247,0.001423,0.00296,0.001545
2.85,0.002606,0.001765,0.003293,0.001762
3.15,0.003033,0.001835,0.003348,0.002
3.45,0.002841,0.002021,0.003519,0.001872
3.75,0.003918,0.002022,0.004022,0.002012
4.05,0.002768,0.002,0.004116,0.002179
4.35,0.002553,0.002039,0.003604,0.002332
4.65,0.003159,0.002235,0.004078,0.002127
4.95,0.003621,0.001887,0.003479,0.001798
5.25,0.0032,0.002173,0.003927,0.002252
5.55,0.003055,0.002123,0.003699,0.00248
5.85,0.003399,0.002134,0.004737,0.002276
6.15,0.003458,0.002104,0.003028,0.002241
6.45,0.003036,0.002216,0.004424,0.002222
6.75,0.003766,0.00255,0.004654,0.002612
7.05,0.003546,0.00245,0.005628,0.002726
7.35,0.004255,0.002478,0.004889,0.002526
7.65,0.005077,0.00246,0.004914,0.002698
7.95,0.004725,0.002604,0.006054,0.003039
8.25,0.004443,0.002602,0.006246,0.002995
8.55,0.005095,0.002781,0.004794,0.003417
8.85,0.00632,0.002783,0.006585,0.003026
9.15,0.005173,0.003152,0.006313,0.003263
9.45,0.004371,0.003279,0.007545,0.003762
9.75,0.005975,0.003865,0.007904,0.004018
10.05,0.0056,0.003866,0.006762,0.004123
10.35,0.005799,0.004045,0.008254,0.003943
10.65,0.005892,0.004032,0.006548,0.00403
10.95,0.007488,0.004315,0.008354,0.004909
11.25,0.007547,0.004021,0.010822,0.005216
11.55,0.008084,0.004718,0.009289,0.004709
11.85,0.008236,0.004818,0.008387,0.00483
12.15,0.006903,0.004437,0.008404,0.004419
12.45,0.009719,0.004392,0.008275,0.00468
12.75,0.007536,0.004587,0.010289,0.00437
13.05,0.008688,0.004384,0.008675,0.004994
13.35,0.009546,0.00524,0.010519,0.005192
13.65,0.011638,0.005572,0.009835,0.005724
13.95,0.011081,0.005496,0.013176,0.005808
14.25,0.009324,0.005579,0.010999,0.005225
14.55,0.009896,0.004835,0.011324,0.004851
14.85,0.010726,0.005275,0.009259,0.005145
15.15,0.009175,0.005029,0.010612,0.005262
15.45,0.009995,0.005123,0.01033,0.004967
15.75,0.009186,0.005613,0.010554,0.00485
16.05,0.010423,0.005293,0.012222,0.005084
16.35,0.010531,0.004985,0.009994,0.004885
16.65,0.009972,0.004917,0.0111,0.005027
16.95,0.008015,0.004839,0.012318,0.004753
17.25,0.009987,0.00492,0.01179,0.005356
17.55,0.011258,0.00497,0.012413,0.004856
17.85,0.009636,0.004679,0.009736,0.004842
18.15,0.010997,0.00511,0.01048,0.004499
18.45,0.011148,0.004703,0.009618,0.0042
18.75,0.011309,0.004155,0.00847,0.004039
19.05,0.008852,0.004303,0.009286,0.00411
19.35,0.009264,0.003906,0.010133,0.003813
19.65,0.009926,0.004181,0.009858,0.003305
19.95,0.009072,0.003946,0.009276,0.003363
20.25,0.009531,0.003733,0.009324,0.003101
20.55,0.009547,0.003693,0.009783,0.003146
20.85,0.00778,0.003837,0.008323,0.002992
21.15,0.007214,0.003903,0.006808,0.002872
21.45,0.006667,0.003857,0.008367,0.002883
21.75,0.007867,0.004002,0.008291,0.003004
22.05,0.006821,0.003452,0.007365,0.002672
22.35,0.006994,0.003242,0.007874,0.002563
22.65,0.007766,0.002723,0.006909,0.002541
22.95,0.008883,0.002952,0.005986,0.002512
23.25,0.007935,0.002786,0.007968,0.002091
23.55,0.006471,0.002704,0.005571,0.001839
23.85,0.006608,0.002608,0.006024,0.001718
24.15,0.006983,0.002547,0.004595,0.00189
24.45,0.004535,0.002089,0.00473,0.001584
24.75,0.006806,0.002055,0.00583,0.001458
25.05,0.005669,0.001664,0.0037,0.0014
25.35,0.00509,0.002116,0.00466,0.001492
25.65,0.005569,0.002081,0.005147,0.001559
25.95,0.004851,0.00208,0.004511,0.001806
26.25,0.005436,0.002108,0.006032,0.001584
26.55,0.004208,0.001984,0.004713,0.001717
26.85,0.005717,0.00214,0.006073,0.001766
27.15,0.004479,0.002197,0.005447,0.001881
27.45,0.005935,0.002335,0.006132,0.00175
27.75,0.006173,0.002427,0.005613,0.001974
28.05,0.005477,0.002341,0.004384,0.001545
28.35,0.005441,0.00218,0.004976,0.00151
28.65,0.005025,0.00183,0.003979,0.00148
28.95,0.00441,0.001683,0.003437,0.001489
29.25,0.00484,0.002002,0.004848,0.001525
29.55,0.004923,0.001495,0.00361,0.001386
29.85,0.003677,0.001662,0.004651,0.001256
30.15,0.004791,0.001852,0.004012,0.001043
30.45,0.00413,0.001609,0.003571,0.001187
30.75,0.005578,0.001523,0.004261,0.001525
31.05,0.005497,0.001646,0.004552,0.001479
31.35,0.006302,0.001949,0.005174,0.00137
31.65,0.004678,0.001546,0.004552,0.001279
31.95,0.00563,0.001772,0.004736,0.001377
32.25,0.004967,0.001835,0.004751,0.001428
32.55,0.005037,0.001891,0.004994,0.00134
32.85,0.005732,0.001731,0.004847,0.001237
