,5mPAR,5mNIR,10mPAR,10mNIR
33.15,0.006383,0.001879,0.0053,0.001275
33.45,0.00518,0.002052,0.005252,0.001379
33.75,0.006207,0.002086,0.005453,0.001218
34.05,0.006321,0.002238,0.005339,0.001474
34.35,0.007767,0.002227,0.004598,0.001418
34.65,0.006431,0.002019,0.00514,0.001245
34.95,0.007471,0.001862,0.004632,0.001179
35.25,0.006312,0.002111,0.005386,0.001294
35.55,0.008159,0.00223,0.00473,0.001615
35.85,0.007304,0.001823,0.00582,0.001208
36.15,0.005775,0.001785,0.004172,0.001077
36.45,0.006482,0.001577,0.004644,0.001226
36.75,0.006664,0.001383,0.003604,0.000965
37.05,0.006398,0.00158,0.004248,0.000994
37.35,0.007245,0.001586,0.00487,0.001333
37.65,0.006106,0.001857,0.004422,0.001263
37.95,0.005961,0.001721,0.005141,0.001146
38.25,0.005754,0.001679,0.005778,0.001313
38.55,0.00479,0.001114,0.003472,0.000743
38.85,0.003895,0.001082,0.003563,0.000916
39.15,0.004319,0.001214,0.00281,0.000931
39.45,0.006104,0.001234,0.003159,0.000772
39.75,0.004513,0.001158,0.003506,0.000759
40.05,0.00409,0.001182,0.002484,0.00064
40.35,0.004609,0.001279,0.003817,0.000691
40.65,0.003287,0.001148,0.002129,0.000601
40.95,0.004043,0.000905,0.002569,0.000484
41.25,0.003588,0.000935,0.001938,0.000424
41.55,0.003624,0.000835,0.001043,0.000422
41.85,0.003792,0.000753,0.001498,0.00038
42.15,0.002109,0.000555,0.001445,0.000218
42.45,0.003054,0.000851,0.00175,0.000441
42.75,0.003905,0.000766,0.000998,0.000329
43.05,0.002957,0.000446,0.0013,0.000256
43.35,0.002297,0.000426,0.001409,0.000239
43.65,0.001859,0.00037,0.00124,0.00017
43.95,0.001285,0.000374,0.001203,0.000151
44.25,0.001182,0.000283,0.000929,0.000213
44.55,0.000814,0.000167,0.000596,0.000069
44.85,0.000666,0.000225,0.000266,0.000078
45.15,0.001221,0.000232,0.000656,0.000057
45.45,0.000781,0.00015,0.000467,0.000111
45.75,0.001595,0.000222,0.000743,0.0001
46.05,0.000925,0.000291,0.000755,0.000091
46.35,0.00122,0.000348,0.000529,0.000076
46.65,0.000452,0.000208,0.000499,0.000085
46.95,0.000952,0.000177,0.00048,0.000072
47.25,0.000945,0.000272,0.000516,0.000094
47.55,0.000954,0.000276,0.000744,0.000205
47.85,0.001105,0.000268,0.000372,0.00016
48.15,0.000926,0.000388,0.000282,0.000067
48.45,0.001063,0.000203,0.000292,0.00008
48.75,0.000433,0.000163,0.000272,0.000068
49.05,0.000517,0.000101,0.000176,0.000024
49.35,0.000496,0.000055,0.000512,0.00003
49.65,0.000003,0,0.00008,0
49.95,0,0.00001,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
