,5m,10m,15m,20m
1.3,285.2,269.4,245.1,227.2
1.6,252.4,246.3,231.6,218.8
1.9,219.7,215.2,207.8,203.2
2.2,206.5,205.8,201.1,193
2.5,209,207.8,207.7,192
2.8,214.6,214.6,208.8,191.2
3.1,213.3,204.2,207.4,183.9
3.4,226.4,219.2,214.8,196.8
3.7,234.9,225.7,211.6,191.9
4,237,230.7,213.4,195.6
4.3,234.3,226.6,210.5,191.1
4.6,230.8,219.1,207.5,184.1
4.9,228.6,218.1,204.6,184.9
5.2,224.1,217.3,207.5,188.3
5.5,216.8,208.4,197.8,176.4
5.8,201.5,199.8,190.3,171.4
6.1,200.8,199.4,190.1,168.4
6.4,202.1,199.8,192.8,174.6
6.7,212.5,212.7,203.1,180.3
7,214.7,213.2,201.9,185.2
7.3,212.8,211.2,202,185.9
7.6,211.2,210.8,205.9,179.9
7.9,215,216.5,209.3,186.5
8.2,222,222.1,213.6,189.9
8.5,232,232.4,220.8,199.8
8.8,227.8,229.8,215.7,191.2
9.1,238,239.4,225,199.8
9.4,242.2,245.1,229.6,208.3
9.7,259,255.7,247.3,223.8
10,277.1,271.4,256.7,229.5
10.3,275,266.6,256.7,223.4
10.6,270,265.6,252.8,211.1
10.9,275.5,271.4,258.3,221
11.2,286.8,282,265,233.9
11.5,292.4,289.5,265.1,228.4
11.8,292.8,286.6,263.3,221.6
12.1,289.8,281.1,251.7,214.3
12.4,296.5,285.4,263.3,217
12.7,286.6,275.2,254.2,205.1
13,278.3,268.7,235,201.4
13.3,290.8,279,248.6,213.7
13.6,308.7,289.6,249,217.9
13.9,292.2,271.1,233.1,190.3
14.2,294,272.8,234.9,188.6
14.5,283.1,260.9,231.7,165.3
14.8,278.6,255.6,218.9,169.8
15.1,275.5,247.9,213.8,158.6
15.4,273.5,241.8,209.7,156.8
15.7,273.8,240.1,211.1,169.9
16,275.7,246.3,209.2,162.6
16.3,258.1,235.6,185.9,148.7
16.6,256.3,238.4,183.5,140.5
16.9,257.3,236.1,183.7,138.5
17.2,261,238.4,184.5,145.9
17.5,244.8,221.9,167.6,127.8
17.8,233.9,203.4,143.2,114.5
18.1,237.9,200.9,157.3,108.7
18.4,221.3,191.9,150.9,103.6
18.7,212.3,178.5,139.4,94.7
19,199.7,168.6,128.3,89.5
19.3,196.4,164.1,120.4,91
19.6,193.5,167.3,114.8,82.1
19.9,178.4,147.8,104.7,82.2
20.2,171.2,139.1,102,78
20.5,165.3,136.9,94.7,67.9
20.8,163.2,132.6,96.3,67.3
21.1,156.8,126.6,94.9,62.2
21.4,157.7,119.3,88,57.5
21.7,156.8,119.8,82.3,56.9
22,144.5,111.4,70.2,55.1
22.3,130,104.7,58.4,46.2
22.6,129.5,103.1,67.2,45
22.9,124.7,103.9,75.7,46.4
23.2,113.2,90.6,60.6,34.5
23.5,108.7,83.8,53.4,32.3
23.8,103.7,77.3,52.3,25.7
24.1,104.7,81,58.2,31.4
24.4,101,78.7,50.8,27.2
24.7,93.9,73.6,45.9,30.1
25,84.1,66.6,42.8,25.5
25.3,80.4,64,44.3,22.1
25.6,90.4,68.9,53.6,27.4
25.9,94.2,73.4,51.5,30.9
26.2,85.4,68.7,52.8,26.8
26.5,86.9,68.3,47.9,27.1
26.8,83.7,71.6,50.5,26.8
27.1,93.4,72.7,50.9,26.5
27.4,96.8,79.2,60.8,27.2
27.7,102.7,81.8,55.2,21.8
28,94.8,70.2,44.3,26.1
28.3,86.2,64.4,39.2,20.2
28.6,86,60.9,37.3,21.7
28.9,78.9,53.7,33.4,22.5
29.2,73.3,53.5,32.7,18.8
29.5,73.9,52.7,35.9,19.9
29.8,73.4,51.3,31.2,20.7
30.1,66.9,44.3,26.4,13.2
30.4,62.4,41.6,24.4,12.7
30.7,64.4,46.8,36.7,14.8
31,73.1,54,34.2,16.6
31.3,74.8,56.2,29.9,13.3
31.6,72,53,26.2,15.9
31.9,70.1,56.3,28.9,13.9
32.2,68.1,48.9,27.2,15.2
32.5,73.8,52.5,27.3,17.3
32.8,75.5,49.9,34.4,20
33.1,83.9,52.6,31.5,17.7
33.4,81.7,49.3,28,12.8
33.7,77.9,45.9,30.4,13.1
34,82.8,51.4,29.6,21.6
34.3,78.4,48.9,27.8,14.3
34.6,80.6,48.1,26.4,14.2
34.9,77.9,47.8,24.2,14
35.2,81.1,48.3,27.6,14.4
35.5,85,51.9,34.3,12
35.8,80.9,52.6,36.2,10.1
36.1,70,47.8,28.8,8.7
36.4,66.2,43.9,27.4,12.3
36.7,59.4,38.5,18.2,6.9
37,58.9,35,15.9,7.7
37.3,60.7,42.5,17,10.7
37.6,63.3,47.4,23.4,11.8
37.9,65.6,51.3,22.6,9.8
38.2,68.3,50.1,20.4,7.4
38.5,53.7,39.2,16.3,5.8
38.8,44.1,32.6,11.1,6.6
39.1,46.8,32.1,17.1,6.4
39.4,48.9,36,11.8,6.9
39.7,45.1,27.8,12.2,5.2
40,45,23.9,12.1,4.7
40.3,47.8,31.6,10.9,4.7
40.6,40.9,21.1,6.8,2.1
40.9,34.4,23,8.5,3
41.2,35.2,19,11.3,3.6
41.5,31.9,15.1,7.1,3.4
41.8,33.3,16.6,7.7,3.2
42.1,28.9,16.3,7,3.3
42.4,29.3,16,8,1.2
42.7,33.5,16.4,8.7,1.9
43,24.5,12.7,8,1.5
43.3,20.8,9,7.7,0.5
43.6,20.6,6.8,2.5,1.1
43.9,14.6,5,4.4,0.2
44.2,11.1,7.4,1.6,0.2
44.5,9.4,4.3,3.2,0.4
44.8,7.9,4.6,1.4,0.2
45.1,9.7,5.4,5.4,0.3
45.4,9.2,4.2,2.4,0.3
45.7,9.4,4.3,3.6,0.4
46,9.5,5.3,0.7,0
46.3,8.8,3,0,0
46.6,8.3,5,1.1,0
46.9,5.2,2.5,0,0
47.2,8,3.3,0.3,0
47.5,8.9,5.7,0,0
47.8,9.1,5.2,0,0
48.1,10.9,3.8,0,0
48.4,7.1,4.2,1.8,0
48.7,6.5,2,0,0
49,3.4,1.7,0,0
49.3,3.5,2.5,0,0
49.6,1.1,0,0,0
49.9,0.1,0,0,0
